group,sample_id,model,label,kind,note,settings,text,path,source_wav_not_included
同一文モデル比較,similarity_h4n_026,voxcpm2-ultimate,VoxCPM2 ultimate,sample,,,RTX 5060 Ti、VRAM 16GB、CUDA、Python、PyTorch を確認します。,audio/same-text/026_voxcpm2-ultimate.mp3,outputs/similarity_eval/voxcpm/voxcpm2_h4n_ref20s_neutral_091_094_ultimate_cfg2.0_ts10_similarity_h4n_026.wav
同一文モデル比較,similarity_h4n_051,irodori-500m,Irodori-TTS 500M,sample,,,これは説明動画の冒頭で使う、落ち着いた読み上げの文章です。,audio/same-text/051_irodori-500m.mp3,outputs/similarity_eval/irodori/irodori_500m_v3_h4n_ref20s_steps24_similarity_h4n_051.wav
同一文モデル比較,similarity_h4n_051,irodori-600m-voicedesign,Irodori-TTS 600M VoiceDesign,sample,,,これは説明動画の冒頭で使う、落ち着いた読み上げの文章です。,audio/same-text/051_irodori-600m-voicedesign.mp3,outputs/similarity_eval/irodori/irodori_600m_v3_voicedesign_h4n_ref20s_steps24_similarity_h4n_051.wav
同一文モデル比較,similarity_h4n_051,qwen3-tts-1p7b,Qwen3-TTS 1.7B,sample,,,これは説明動画の冒頭で使う、落ち着いた読み上げの文章です。,audio/same-text/051_qwen3-tts-1p7b.mp3,outputs/similarity_eval/qwen3-tts/qwen3_1p7b_h4n_ref20s_neutral_091_094_t0.65_p0.75_cap192_similarity_h4n_051.wav
同一文モデル比較,similarity_h4n_051,fish-speech-s2,Fish Speech S2 Pro,sample,,,これは説明動画の冒頭で使う、落ち着いた読み上げの文章です。,audio/same-text/051_fish-speech-s2.mp3,outputs/similarity_eval/fish_speech/fish_s2_h4n_ref10s_similarity_h4n_051.wav
同一文モデル比較,similarity_h4n_051,cosyvoice2,CosyVoice2,sample,,,これは説明動画の冒頭で使う、落ち着いた読み上げの文章です。,audio/same-text/051_cosyvoice2.mp3,outputs/similarity_eval/cosyvoice2/cosyvoice2_h4n_ref20s_similarity_same_text_s1p00_similarity_h4n_051.wav
同一文モデル比較,similarity_h4n_051,voxcpm2-ultimate,VoxCPM2 ultimate,sample,,,これは説明動画の冒頭で使う、落ち着いた読み上げの文章です。,audio/same-text/051_voxcpm2-ultimate.mp3,outputs/similarity_eval/voxcpm/voxcpm2_h4n_ref20s_neutral_091_094_ultimate_cfg2.0_ts10_similarity_h4n_051.wav
同一文モデル比較,similarity_h4n_087,irodori-500m,Irodori-TTS 500M,sample,,,生き物の声と、生ビールの注文では、生の読み方が変わります。,audio/same-text/087_irodori-500m.mp3,outputs/similarity_eval/irodori/irodori_500m_v3_h4n_ref20s_steps24_similarity_h4n_087.wav
同一文モデル比較,similarity_h4n_087,irodori-600m-voicedesign,Irodori-TTS 600M VoiceDesign,sample,,,生き物の声と、生ビールの注文では、生の読み方が変わります。,audio/same-text/087_irodori-600m-voicedesign.mp3,outputs/similarity_eval/irodori/irodori_600m_v3_voicedesign_h4n_ref20s_steps24_similarity_h4n_087.wav
同一文モデル比較,similarity_h4n_087,qwen3-tts-1p7b,Qwen3-TTS 1.7B,sample,,,生き物の声と、生ビールの注文では、生の読み方が変わります。,audio/same-text/087_qwen3-tts-1p7b.mp3,outputs/similarity_eval/qwen3-tts/qwen3_1p7b_h4n_ref20s_neutral_091_094_t0.65_p0.75_cap192_similarity_h4n_087.wav
同一文モデル比較,similarity_h4n_087,fish-speech-s2,Fish Speech S2 Pro,sample,,,生き物の声と、生ビールの注文では、生の読み方が変わります。,audio/same-text/087_fish-speech-s2.mp3,outputs/similarity_eval/fish_speech/fish_s2_h4n_ref10s_similarity_h4n_087.wav
同一文モデル比較,similarity_h4n_087,cosyvoice2,CosyVoice2,sample,,,生き物の声と、生ビールの注文では、生の読み方が変わります。,audio/same-text/087_cosyvoice2.mp3,outputs/similarity_eval/cosyvoice2/cosyvoice2_h4n_ref20s_similarity_same_text_s1p00_similarity_h4n_087.wav
同一文モデル比較,similarity_h4n_087,voxcpm2-ultimate,VoxCPM2 ultimate,sample,,,生き物の声と、生ビールの注文では、生の読み方が変わります。,audio/same-text/087_voxcpm2-ultimate.mp3,outputs/similarity_eval/voxcpm/voxcpm2_h4n_ref20s_neutral_091_094_ultimate_cfg2.0_ts10_similarity_h4n_087.wav
選抜公開サンプル,curated_01_fish_conversation,fish-speech-s2,Fish Speech S2 Pro,良好例,短い会話文で自然さが出やすかった代表例。,round2_ref8s,おはようございます。昨日送っていただいた資料、先ほど確認しました。,audio/curated/01_fish_conversation.mp3,outputs/round2_improvement/fish_speech/fish_s2_round2_ref8s_ja_conversation_split_01.wav
選抜公開サンプル,curated_02_irodori_conversation,irodori-600m-voicedesign,Irodori-TTS 600M VoiceDesign,良好例,生成速度と品質のバランスがよかった短文例。,round2_ref20s / steps=24,おはようございます。昨日送っていただいた資料、先ほど確認しました。,audio/curated/02_irodori_conversation.mp3,outputs/round2_improvement/irodori/irodori_600m_v3_voicedesign_ref20s_steps24_ja_conversation_split_01.wav
選抜公開サンプル,curated_03_qwen3_conversation,qwen3-tts-1p7b,Qwen3-TTS 1.7B,良好例,短文では声質と明瞭さが比較的安定した例。,round2_ref8s / temp=0.65 / top_p=0.75 / cap=192,おはようございます。昨日送っていただいた資料、先ほど確認しました。,audio/curated/03_qwen3_conversation.mp3,outputs/round2_improvement/qwen3-tts/qwen3_1p7b_round2_ref8s_t0.65_p0.75_cap192_ja_conversation_split_01.wav
選抜公開サンプル,curated_04_cosyvoice2_conversation,cosyvoice2,CosyVoice2,改善例,初期検証より違和感が減った改善後の短文例。,round2_ref20s / speed=1.05,おはようございます。昨日送っていただいた資料、先ほど確認しました。,audio/curated/04_cosyvoice2_conversation.mp3,outputs/round2_improvement/cosyvoice2/cosyvoice2_round2_ref20s_round2_v2_s1p05_ja_conversation_split_01.wav
選抜公開サンプル,curated_05_voxcpm2_conversation,voxcpm2-clone,VoxCPM2 clone,改善例,声質は近いが抑揚に注意が必要なモデルの短文例。,round2_ref20s / clone / cfg=2.0 / timesteps=10,おはようございます。昨日送っていただいた資料、先ほど確認しました。,audio/curated/05_voxcpm2_conversation.mp3,outputs/round2_improvement/voxcpm/voxcpm2_round2_ref20s_clone_cfg2.0_ts10_ja_conversation_split_01.wav
選抜公開サンプル,curated_06_irodori_narration,irodori-600m-voicedesign,Irodori-TTS 600M VoiceDesign,ナレーション,長めの説明文で間と語尾を確認するための例。,round2_ref20s / steps=24,"静かな部屋で、録音ランプがゆっくりと点灯しました。

マイクの前に座り、息を整え、最初の一文を読み始めます。声は少し低く、落ち着いていて、聞き手が内容を追いやすい速度を保っています。

このナレーションでは、間の取り方、語尾の余韻、そして長い文章を読んだときの安定感を確認します。",audio/curated/06_irodori_narration.mp3,outputs/round2_improvement/irodori/irodori_600m_v3_voicedesign_ref20s_steps24_ja_narration.wav
選抜公開サンプル,curated_07_qwen3_narration,qwen3-tts-1p7b,Qwen3-TTS 1.7B,ナレーション,Qwen3の抑揚と長め文章の安定性を見る例。,round2_ref20s / temp=0.65 / top_p=0.75 / cap=384,"静かな部屋で、録音ランプがゆっくりと点灯しました。

マイクの前に座り、息を整え、最初の一文を読み始めます。声は少し低く、落ち着いていて、聞き手が内容を追いやすい速度を保っています。

このナレーションでは、間の取り方、語尾の余韻、そして長い文章を読んだときの安定感を確認します。",audio/curated/07_qwen3_narration.mp3,outputs/round2_improvement/qwen3-tts/qwen3_1p7b_round2_ref20s_t0.65_p0.75_cap384_ja_narration.wav
選抜公開サンプル,curated_08_voxcpm2_narration,voxcpm2-ultimate,VoxCPM2 ultimate,ナレーション,内容保持は悪くないが、抑揚の癖を確認する例。,round2_ref20s / ultimate / cfg=2.0 / timesteps=10,"静かな部屋で、録音ランプがゆっくりと点灯しました。

マイクの前に座り、息を整え、最初の一文を読み始めます。声は少し低く、落ち着いていて、聞き手が内容を追いやすい速度を保っています。

このナレーションでは、間の取り方、語尾の余韻、そして長い文章を読んだときの安定感を確認します。",audio/curated/08_voxcpm2_narration.mp3,outputs/round2_improvement/voxcpm/voxcpm2_round2_ref20s_ultimate_cfg2.0_ts10_ja_narration.wav
選抜公開サンプル,curated_09_qwen3_terms,qwen3-tts-1p7b,Qwen3-TTS 1.7B,難例,長い技術語・数字で破綻しやすい傾向を示す例。,round2_ref8s / temp=0.65 / top_p=0.75 / cap=640,"二千二十六年 六月 十五日 時点で、Windows 環境における GPU 推論、CPU 推論、API サーバー化の可否を確認します。

検証対象には、エヌティーティードコモ、オラクル エクサデータ、グーグル クラウド スパナー、アマゾン ダイナモ ディービー、マイクロソフト アジュール、エヌビディア ジーフォース アールティーエックス よんぜろななぜろ、クーダ じゅうに てん ろく、パイソン さん てん じゅう が含まれます。

売上は、ひゃくにじゅうさんまん よんせん ごひゃく ろくじゅうなな円。達成率は、きゅうじゅうはち てん ななパーセント。受付時間は、午前 九時 三十分から、午後 六時 十五分までです。

URLは、エイチティーティーピーエス、コロン、スラッシュ、スラッシュ、イグザンプル ドット コム、スラッシュ、ドックス、スラッシュ、ティーティーエス、ハイフン、チェックリストです。",audio/curated/09_qwen3_terms_numbers.mp3,outputs/round2_improvement/qwen3-tts/qwen3_1p7b_round2_ref8s_t0.65_p0.75_cap640_ja_terms_numbers_readable.wav
選抜公開サンプル,curated_10_cosyvoice2_terms,cosyvoice2,CosyVoice2,難例,数字・英字・サービス名を含む長文での安定性を見る例。,round2_ref8s / speed=0.95,"二千二十六年 六月 十五日 時点で、Windows 環境における GPU 推論、CPU 推論、API サーバー化の可否を確認します。

検証対象には、エヌティーティードコモ、オラクル エクサデータ、グーグル クラウド スパナー、アマゾン ダイナモ ディービー、マイクロソフト アジュール、エヌビディア ジーフォース アールティーエックス よんぜろななぜろ、クーダ じゅうに てん ろく、パイソン さん てん じゅう が含まれます。

売上は、ひゃくにじゅうさんまん よんせん ごひゃく ろくじゅうなな円。達成率は、きゅうじゅうはち てん ななパーセント。受付時間は、午前 九時 三十分から、午後 六時 十五分までです。

URLは、エイチティーティーピーエス、コロン、スラッシュ、スラッシュ、イグザンプル ドット コム、スラッシュ、ドックス、スラッシュ、ティーティーエス、ハイフン、チェックリストです。",audio/curated/10_cosyvoice2_terms_numbers.mp3,outputs/round2_improvement/cosyvoice2/cosyvoice2_round2_ref8s_round2_v2_s0p95_ja_terms_numbers_readable.wav
選抜公開サンプル,curated_11_voxcpm2_terms,voxcpm2-ultimate,VoxCPM2 ultimate,難例,内容保持と抑揚の両方を確認するための長文例。,round2_ref20s / ultimate / cfg=2.0 / timesteps=10,"二千二十六年 六月 十五日 時点で、Windows 環境における GPU 推論、CPU 推論、API サーバー化の可否を確認します。

検証対象には、エヌティーティードコモ、オラクル エクサデータ、グーグル クラウド スパナー、アマゾン ダイナモ ディービー、マイクロソフト アジュール、エヌビディア ジーフォース アールティーエックス よんぜろななぜろ、クーダ じゅうに てん ろく、パイソン さん てん じゅう が含まれます。

売上は、ひゃくにじゅうさんまん よんせん ごひゃく ろくじゅうなな円。達成率は、きゅうじゅうはち てん ななパーセント。受付時間は、午前 九時 三十分から、午後 六時 十五分までです。

URLは、エイチティーティーピーエス、コロン、スラッシュ、スラッシュ、イグザンプル ドット コム、スラッシュ、ドックス、スラッシュ、ティーティーエス、ハイフン、チェックリストです。",audio/curated/11_voxcpm2_terms_numbers.mp3,outputs/round2_improvement/voxcpm/voxcpm2_round2_ref20s_ultimate_cfg2.0_ts10_ja_terms_numbers_readable.wav
選抜公開サンプル,curated_12_fish_presentation,fish-speech-s2,Fish Speech S2 Pro,プレゼン,H4n Pro録音後のプレゼン文で、自然さを確認する例。,h4n_ref10s_neutral_091_093,本日は、ローカル環境で日本語音声合成を検証した結果を共有します。まず、録音条件と評価の観点を整理します。,audio/curated/12_fish_presentation_chunk_01.mp3,outputs/h4n_presentation/fish_speech/fish_s2_h4n_ref10s_neutral_091_093_ja_presentation_chunk_01.wav
選抜公開サンプル,curated_13_irodori_presentation,irodori-600m-voicedesign,Irodori-TTS 600M VoiceDesign,プレゼン,Irodoriの実用速度でプレゼン文を試した例。,h4n_ref20s_neutral_091_094 / steps=24,本日は、ローカル環境で日本語音声合成を検証した結果を共有します。まず、録音条件と評価の観点を整理します。,audio/curated/13_irodori_presentation_chunk_01.mp3,outputs/h4n_presentation/irodori/normalized_minus3db/irodori_600m_v3_voicedesign_h4n_ref20s_neutral_091_094_steps24_ja_presentation_chunk_01.wav
Irodori-TTS 600M VoiceDesign EVプレゼン抜粋,ev_launch_001,irodori-600m-voicedesign,落ち着いた導入,sample,,,皆さま、本日はアステリア・モーターズの新車発表会にお越しいただき、誠にありがとうございます。,audio/ev-launch/001_calm_opening.mp3,outputs/irodori_ev_launch/normalized_minus3db_chunks/irodori_600m_v3_voicedesign_h4n_ref20s_neutral_091_094_ev_launch_chunk_001_calm_opening.wav
Irodori-TTS 600M VoiceDesign EVプレゼン抜粋,ev_launch_004,irodori-600m-voicedesign,自信のある発表,sample,,,その名は、アステリア・ルーメン。光を意味する名前のとおり、これからの暮らしを静かに照らすために生まれました。,audio/ev-launch/004_confident_reveal.mp3,outputs/irodori_ev_launch/normalized_minus3db_chunks/irodori_600m_v3_voicedesign_h4n_ref20s_neutral_091_094_ev_launch_chunk_004_confident_reveal.wav
Irodori-TTS 600M VoiceDesign EVプレゼン抜粋,ev_launch_007,irodori-600m-voicedesign,高揚感を抑えた説明,sample,,,アクセルを踏んだ瞬間の反応は鋭く、それでいて唐突ではありません。街中でも高速道路でも、扱いやすい加速を実現しました。,audio/ev-launch/007_excited_controlled.mp3,outputs/irodori_ev_launch/normalized_minus3db_chunks/irodori_600m_v3_voicedesign_h4n_ref20s_neutral_091_094_ev_launch_chunk_007_excited_controlled.wav
Irodori-TTS 600M VoiceDesign EVプレゼン抜粋,ev_launch_015,irodori-600m-voicedesign,動的な走行説明,sample,,,ドライブモードは、コンフォート、レンジ、スポーツの三種類です。スポーツでは、車体が一段引き締まったように反応します。,audio/ev-launch/015_driving_dynamic.mp3,outputs/irodori_ev_launch/normalized_minus3db_chunks/irodori_600m_v3_voicedesign_h4n_ref20s_neutral_091_094_ev_launch_chunk_015_driving_dynamic.wav
Irodori-TTS 600M VoiceDesign EVプレゼン抜粋,ev_launch_022,irodori-600m-voicedesign,デモらしい明るさ,sample,,,このあと、ステージ左手のスクリーンで、実際の走行映像をご覧いただきます。加速、静粛性、そして回生ブレーキにご注目ください。,audio/ev-launch/022_demo_lively.mp3,outputs/irodori_ev_launch/normalized_minus3db_chunks/irodori_600m_v3_voicedesign_h4n_ref20s_neutral_091_094_ev_launch_chunk_022_demo_lively.wav
Irodori-TTS 600M VoiceDesign EVプレゼン抜粋,ev_launch_028,irodori-600m-voicedesign,心を込めた締め,sample,,,ここまで支えてくださった開発チーム、協力会社の皆さま、そして待ってくださったお客様に、改めて感謝いたします。,audio/ev-launch/028_heartfelt_closing.mp3,outputs/irodori_ev_launch/normalized_minus3db_chunks/irodori_600m_v3_voicedesign_h4n_ref20s_neutral_091_094_ev_launch_chunk_028_heartfelt_closing.wav
Irodori-TTS 600M VoiceDesign EVプレゼン抜粋,ev_launch_035,irodori-600m-voicedesign,感情のピーク,sample,,,ここで改めて、アステリア・ルーメンを皆さまにお見せします。静かに、力強く、そして美しく走る、新しい電気自動車です。,audio/ev-launch/035_emotional_peak.mp3,outputs/irodori_ev_launch/normalized_minus3db_chunks/irodori_600m_v3_voicedesign_h4n_ref20s_neutral_091_094_ev_launch_chunk_035_emotional_peak.wav
Irodori-TTS 600M VoiceDesign EVプレゼン抜粋,ev_launch_040,irodori-600m-voicedesign,最後の謝辞,sample,,,重ねて、本日はありがとうございました。アステリア・ルーメンとともに、静けさの先へ進む旅を、ぜひご一緒ください。,audio/ev-launch/040_final_thanks.mp3,outputs/irodori_ev_launch/normalized_minus3db_chunks/irodori_600m_v3_voicedesign_h4n_ref20s_neutral_091_094_ev_launch_chunk_040_final_thanks.wav
